"feature_set","delta_auc","auc_ci_low","auc_ci_high","delta_bacc","bacc_ci_low","bacc_ci_high"
"lagged_returns_plus_node_network",0.00111450556138226,-0.00804873930513543,0.00882959254811201,0.00215659920644451,-0.00821277688466518,0.00916566903521386
"lagged_returns_plus_aggregate_signals",-0.00376294688109113,-0.0125912737617768,0.00649730361581773,-0.00132768023570295,-0.00974079837765699,0.00585222780810775
"lagged_returns_plus_pair_signals",0.00423643260859652,-0.00540226662045705,0.0133808075911062,0.00667107367334951,-0.00183723610898726,0.0152386161574633
"lagged_returns_plus_all_network",0.000535533693775236,-0.00754231757536639,0.00957342901843531,0.00202872899213746,-0.00625268554089099,0.00910764169079763
"lagged_returns_plus_asset_signal_interactions",-0.00301586349016569,-0.0115504509627316,0.00574478989418296,-0.000193828196375367,-0.00731468162347409,0.00706846281334721
