"feature_set","test_auc","delta_test_auc","validation_auc","test_logloss","best_iteration","network_features_used","network_gain_share"
"lagged_returns",0.521001382280344,0,0.516016778118876,0.692531872859018,12,0,0
"lagged_returns_plus_node_network",0.516954208338182,-0.00404717394216247,0.520787498043396,0.692722947533582,7,3,0.000805752079584845
"lagged_returns_plus_aggregate_signals",0.519521182968143,-0.00148019931220145,0.520769571501004,0.692707579193984,12,2,0.000597300651620598
"lagged_returns_plus_pair_signals",0.522555469069139,0.00155408678879487,0.519565058495463,0.692540665915128,14,0,0
"lagged_returns_plus_all_network",0.515752103973809,-0.00524927830653532,0.515875655556582,0.692766538314725,6,5,0.00217656409310027
"lagged_returns_plus_asset_signal_interactions",0.521264301287795,0.000262919007451123,0.525365610576728,0.692462501465933,15,4,0.00104276154008729
